"Date","Price","Open","High","Low","Vol.","Change %"
"08/21/2023","33,094.00","33,094.00","33,094.00","33,094.00","","-0.05%"
"08/18/2023","33,111.00","33,111.00","33,111.00","33,111.00","","0.00%"
"08/17/2023","33,111.00","33,111.00","33,111.00","33,111.00","","-0.01%"
"08/16/2023","33,115.50","33,115.50","33,115.50","33,115.50","","0.43%"
"08/14/2023","32,975.00","32,975.00","32,975.00","32,975.00","","-0.06%"
"08/11/2023","32,996.00","32,996.00","32,996.00","32,996.00","","0.00%"
"08/10/2023","32,996.00","32,996.00","32,996.00","32,996.00","","-0.02%"
"08/09/2023","33,001.00","33,001.00","33,001.00","33,001.00","","-0.02%"
"08/08/2023","33,006.50","33,006.50","33,006.50","33,006.50","","-0.02%"
"08/07/2023","33,012.00","33,012.00","33,012.00","33,012.00","","-0.06%"
"08/04/2023","33,033.00","33,033.00","33,033.00","33,033.00","","0.00%"
"08/03/2023","33,033.00","33,033.00","33,033.00","33,033.00","","-0.02%"
"08/02/2023","33,038.50","33,038.50","33,038.50","33,038.50","","-0.02%"
"08/01/2023","33,044.00","33,044.00","33,044.00","33,044.00","","-0.02%"
"07/31/2023","33,049.50","33,049.50","33,049.50","33,049.50","","-0.07%"
"07/28/2023","33,071.00","33,071.00","33,071.00","33,071.00","","0.00%"
"07/27/2023","33,071.00","33,071.00","33,071.00","33,071.00","","-0.02%"
"07/26/2023","33,076.50","33,076.50","33,076.50","33,076.50","","-0.02%"
"07/25/2023","33,082.00","33,082.00","33,082.00","33,082.00","","-0.02%"
"07/24/2023","33,087.50","33,087.50","33,087.50","33,087.50","","-0.06%"
"07/21/2023","33,109.00","33,109.00","33,109.00","33,109.00","","0.00%"
"07/20/2023","33,109.00","33,109.00","33,109.00","33,109.00","","-0.02%"
"07/19/2023","33,114.75","33,114.75","33,114.75","33,114.75","","0.42%"
"07/17/2023","32,977.00","32,977.00","32,977.00","32,977.00","","-0.07%"
"07/14/2023","32,999.00","32,999.00","32,999.00","32,999.00","","0.00%"
"07/13/2023","32,999.00","32,999.00","32,999.00","32,999.00","","-0.02%"
"07/12/2023","33,004.50","33,004.50","33,004.50","33,004.50","","-0.02%"
"07/11/2023","33,010.00","33,010.00","33,010.00","33,010.00","","-0.02%"
"07/10/2023","33,015.00","33,015.00","33,015.00","33,015.00","","-0.06%"
"07/07/2023","33,036.00","33,036.00","33,036.00","33,036.00","","0.00%"
"07/06/2023","33,036.00","33,036.00","33,036.00","33,036.00","","-0.02%"
"07/05/2023","33,041.50","33,041.50","33,041.50","33,041.50","","-0.02%"
"07/04/2023","33,047.00","33,047.00","33,047.00","33,047.00","","-0.02%"
"07/03/2023","33,052.50","33,052.50","33,052.50","33,052.50","","-0.07%"
"06/30/2023","33,074.00","33,074.00","33,074.00","33,074.00","","6.57%"
"06/29/2023","31,035.00","31,035.00","31,035.00","31,035.00","","6.34%"
"06/28/2023","29,185.00","29,185.00","29,185.00","29,185.00","","-0.02%"
"06/27/2023","29,190.00","29,190.00","29,190.00","29,190.00","","-0.02%"
"06/26/2023","29,195.50","29,195.50","29,195.50","29,195.50","","-0.07%"
"06/23/2023","29,217.00","29,217.00","29,217.00","29,217.00","","0.00%"
"06/22/2023","29,217.00","29,217.00","29,217.00","29,217.00","","-0.02%"
"06/21/2023","29,222.50","29,222.50","29,222.50","29,222.50","","-0.02%"
"06/20/2023","29,228.00","29,228.00","29,228.00","29,228.00","","0.50%"
"06/19/2023","29,083.00","29,083.00","29,083.00","29,083.00","","-0.06%"
"06/16/2023","29,100.25","29,100.25","29,100.25","29,100.25","","0.00%"
"06/15/2023","29,100.25","29,100.25","29,100.25","29,100.25","","-0.01%"
"06/14/2023","29,104.50","29,104.50","29,104.50","29,104.50","","-0.02%"
"06/13/2023","29,109.00","29,109.00","29,109.00","29,109.00","","-0.02%"
"06/12/2023","29,113.50","29,113.50","29,113.50","29,113.50","","-0.06%"
"06/09/2023","29,131.00","29,131.00","29,131.00","29,131.00","","0.00%"
"06/08/2023","29,131.00","29,131.00","29,131.00","29,131.00","","-0.01%"
"06/07/2023","29,135.00","29,135.00","29,135.00","29,135.00","","-0.02%"
"06/06/2023","29,139.50","29,139.50","29,139.50","29,139.50","","-0.02%"
