,Date,Price,Open,High,Low,Vol.,Change %
105,"Jul 25, 2023",19.3,19.3,19.4,19.2,,0.00%
106,"Jul 24, 2023",19.3,19.3,19.4,19.2,,0.00%
107,"Jul 21, 2023",19.3,19.3,19.4,19.2,,2.66%
108,"Jul 20, 2023",18.8,18.8,18.9,18.7,,0.00%
109,"Jul 19, 2023",18.8,18.8,18.9,18.7,,0.00%
110,"Jul 18, 2023",18.8,18.8,18.9,18.7,,2.73%
111,"Jul 17, 2023",18.3,18.3,18.4,18.2,,0.00%
112,"Jul 14, 2023",18.3,18.3,18.4,18.2,,2.81%
113,"Jul 13, 2023",17.8,17.8,17.9,17.7,,2.89%
114,"Jul 12, 2023",17.3,17.3,17.4,17.2,,2.98%
115,"Jul 11, 2023",16.8,16.8,16.9,16.7,,2.44%
116,"Jul 10, 2023",16.4,16.4,16.5,16.3,,2.50%
117,"Jul 07, 2023",16.0,16.0,16.1,15.9,,2.56%
118,"Jul 06, 2023",15.6,15.6,15.7,15.5,,0.00%
119,"Jul 05, 2023",15.6,15.6,15.7,15.5,,0.00%
120,"Jul 04, 2023",15.6,15.6,15.7,15.5,,0.00%
121,"Jul 03, 2023",15.6,15.6,15.7,15.5,,0.00%
122,"Jun 30, 2023",15.6,15.6,15.7,15.5,,2.63%
123,"Jun 29, 2023",15.2,15.2,15.3,15.1,,0.00%
124,"Jun 28, 2023",15.2,15.2,15.3,15.1,,0.00%
125,"Jun 27, 2023",15.2,15.2,15.3,15.1,,0.00%
126,"Jun 26, 2023",15.2,15.2,15.3,15.1,,0.00%
127,"Jun 21, 2023",15.2,15.2,15.3,15.1,,2.01%
128,"Jun 20, 2023",14.9,14.9,15.0,14.8,,0.00%
129,"Jun 19, 2023",14.9,14.9,15.0,14.8,,0.00%
130,"Jun 16, 2023",14.9,14.9,15.0,14.8,,0.00%
131,"Jun 15, 2023",14.9,14.9,15.0,14.8,,0.00%
132,"Jun 14, 2023",14.9,14.9,15.0,14.8,,0.00%
133,"Jun 13, 2023",14.9,14.9,15.0,14.8,,0.00%
134,"Jun 12, 2023",14.9,14.9,15.0,14.8,,0.00%
135,"Jun 09, 2023",14.9,14.9,15.0,14.8,,0.00%
136,"Jun 08, 2023",14.9,14.9,15.0,14.8,,0.00%
137,"Jun 07, 2023",14.9,14.9,15.0,14.8,,0.00%
138,"Jun 06, 2023",14.9,14.9,15.0,14.8,,0.00%
139,"Jun 05, 2023",14.9,14.9,15.0,14.8,,1.36%
140,"Jun 02, 2023",14.7,14.7,14.8,14.6,,0.00%
141,"Jun 01, 2023",14.7,14.7,14.8,14.6,,-1.34%
142,"May 31, 2023",14.9,14.9,15.0,14.8,,0.00%
143,"May 30, 2023",14.9,14.9,15.0,14.8,,0.00%
144,"May 29, 2023",14.9,14.9,15.0,14.8,,0.00%
145,"May 26, 2023",14.9,14.9,15.0,14.8,,-1.32%
146,"May 25, 2023",15.1,15.1,15.2,15.0,,-1.95%
147,"May 24, 2023",15.4,15.4,15.5,15.3,,0.00%
148,"May 23, 2023",15.4,15.4,15.5,15.3,,-1.91%
149,"May 22, 2023",15.7,15.7,15.8,15.6,,0.00%
150,"May 19, 2023",15.7,15.7,15.8,15.6,,-2.48%
151,"May 18, 2023",16.1,16.1,16.2,16.0,,0.00%
152,"May 17, 2023",16.1,16.1,16.2,16.0,,0.00%
153,"May 16, 2023",16.1,16.1,16.2,16.0,,0.00%
154,"May 15, 2023",16.1,16.1,16.2,16.0,,0.00%
155,"May 12, 2023",16.1,16.1,16.2,16.0,,0.00%
156,"May 11, 2023",16.1,16.1,16.2,16.0,,0.00%
157,"May 10, 2023",16.1,16.1,16.2,16.0,,0.00%
158,"May 09, 2023",16.1,16.1,16.2,16.0,,0.00%
159,"May 08, 2023",16.1,16.1,16.2,16.0,,-2.42%
160,"May 05, 2023",16.5,16.5,16.6,16.4,,-2.94%
161,"May 04, 2023",17.0,17.0,17.1,16.9,,0.00%
162,"Apr 28, 2023",17.0,17.0,17.1,16.9,,-1.73%
163,"Apr 27, 2023",17.3,17.3,17.4,17.2,,0.00%
164,"Apr 26, 2023",17.3,17.3,17.4,17.2,,0.00%
165,"Apr 25, 2023",17.3,17.3,17.4,17.2,,0.00%
166,"Apr 24, 2023",17.3,17.3,17.4,17.2,,0.00%
167,"Apr 21, 2023",17.3,17.3,17.4,17.2,,-0.57%
168,"Apr 20, 2023",17.4,17.4,17.5,17.3,,0.00%
169,"Apr 19, 2023",17.4,17.4,17.5,17.3,,0.00%
170,"Apr 18, 2023",17.4,17.4,17.5,17.3,,-0.57%
171,"Apr 17, 2023",17.5,17.5,17.6,17.4,,0.00%
172,"Apr 14, 2023",17.5,17.5,17.6,17.4,,0.00%
173,"Apr 13, 2023",17.5,17.5,17.6,17.4,,0.00%
174,"Apr 12, 2023",17.5,17.5,17.6,17.4,,0.00%
175,"Apr 11, 2023",17.5,17.5,17.6,17.4,,-0.57%
176,"Apr 10, 2023",17.6,17.6,17.7,17.5,,0.00%
177,"Apr 07, 2023",17.6,17.6,17.7,17.5,,0.00%
178,"Apr 06, 2023",17.6,17.6,17.7,17.5,,0.00%
179,"Apr 04, 2023",17.6,17.6,17.7,17.5,,0.00%
180,"Apr 03, 2023",17.6,17.6,17.7,17.5,,0.00%
181,"Mar 31, 2023",17.6,17.6,17.7,17.5,,0.00%
182,"Mar 30, 2023",17.6,17.6,17.7,17.5,,0.00%
183,"Mar 29, 2023",17.6,17.6,17.7,17.5,,0.00%
184,"Mar 28, 2023",17.6,17.6,17.7,17.5,,0.00%
185,"Mar 27, 2023",17.6,17.6,17.7,17.5,,0.00%
186,"Mar 24, 2023",17.6,17.6,17.7,17.5,,0.00%
187,"Mar 23, 2023",17.6,17.6,17.7,17.5,,0.00%
188,"Mar 22, 2023",17.6,17.6,17.7,17.5,,0.00%
189,"Mar 21, 2023",17.6,17.6,17.7,17.5,,0.00%
190,"Mar 20, 2023",17.6,17.6,17.7,17.5,,1.15%
191,"Mar 17, 2023",17.4,17.4,17.5,17.3,,1.75%
192,"Mar 16, 2023",17.1,17.1,17.2,17.0,,0.00%
193,"Mar 15, 2023",17.1,17.1,17.2,17.0,,0.00%
194,"Mar 14, 2023",17.1,17.1,17.2,17.0,,0.00%
195,"Mar 13, 2023",17.1,17.1,17.2,17.0,,0.00%
196,"Mar 10, 2023",17.1,17.1,17.2,17.0,,0.00%
197,"Mar 09, 2023",17.1,17.1,17.2,17.0,,0.00%
198,"Mar 08, 2023",17.1,17.1,17.2,17.0,,0.00%
199,"Mar 07, 2023",17.1,17.1,17.2,17.0,,0.00%
200,"Mar 06, 2023",17.1,17.1,17.2,17.0,,0.00%
201,"Mar 03, 2023",17.1,17.1,17.2,17.0,,0.00%
202,"Mar 02, 2023",17.1,17.1,17.2,17.0,,0.00%
203,"Mar 01, 2023",17.1,17.1,17.2,17.0,,0.00%
204,"Feb 28, 2023",17.1,17.1,17.2,17.0,,0.00%
205,"Feb 27, 2023",17.1,17.1,17.2,17.0,,0.00%
206,"Feb 24, 2023",17.1,17.1,17.2,17.0,,0.00%
207,"Feb 23, 2023",17.1,17.1,17.2,17.0,,0.00%
208,"Feb 22, 2023",17.1,17.1,17.2,17.0,,0.00%
209,"Feb 21, 2023",17.1,17.1,17.2,17.0,,-1.16%
210,"Feb 20, 2023",17.3,17.3,17.4,17.2,,0.00%
211,"Feb 17, 2023",17.3,17.3,17.4,17.2,,0.00%
212,"Feb 16, 2023",17.3,17.3,17.4,17.2,,-1.14%
213,"Feb 14, 2023",17.5,17.5,17.6,17.4,,0.00%
214,"Feb 13, 2023",17.5,17.5,17.6,17.4,,0.00%
215,"Feb 10, 2023",17.5,17.5,17.6,17.4,,-1.69%
216,"Feb 09, 2023",17.8,17.8,17.9,17.7,,0.00%
217,"Feb 08, 2023",17.8,17.8,17.9,17.7,,-1.66%
218,"Feb 07, 2023",18.1,18.1,18.2,18.0,,-2.69%
219,"Feb 06, 2023",18.6,18.6,18.7,18.5,,-2.62%
220,"Feb 03, 2023",19.1,19.1,19.2,19.0,,-2.55%
221,"Feb 02, 2023",19.6,19.6,19.7,19.5,,-1.01%
222,"Feb 01, 2023",19.8,19.8,19.9,19.7,,-1.49%
223,"Jan 31, 2023",20.1,20.1,20.2,20.0,,0.00%
224,"Jan 30, 2023",20.1,20.1,20.2,20.0,,0.00%
225,"Jan 18, 2023",20.1,20.1,20.2,20.0,,0.00%
226,"Jan 17, 2023",20.1,20.1,20.2,20.0,,0.00%
227,"Jan 16, 2023",20.1,20.1,20.2,20.0,,0.00%
228,"Jan 13, 2023",20.1,20.1,20.2,20.0,,-0.50%
229,"Jan 12, 2023",20.2,20.2,20.3,20.1,,0.00%
230,"Jan 11, 2023",20.2,20.2,20.3,20.1,,-0.49%
231,"Jan 10, 2023",20.3,20.3,20.4,20.2,,-2.40%
232,"Jan 09, 2023",20.8,20.8,20.9,20.7,,0.00%
233,"Jan 06, 2023",20.8,20.8,20.9,20.7,,0.00%
234,"Jan 05, 2023",20.8,20.8,20.9,20.7,,0.00%
235,"Jan 04, 2023",20.8,20.8,20.9,20.7,,0.00%
236,"Jan 03, 2023",20.8,20.8,20.9,20.7,,0.00%
237,"Dec 30, 2022",20.8,20.8,20.9,20.7,,0.00%
238,"Dec 29, 2022",20.8,20.8,20.9,20.7,,0.00%
239,"Dec 28, 2022",20.8,20.8,20.9,20.7,,0.00%
240,"Dec 27, 2022",20.8,20.8,20.9,20.7,,0.00%
241,"Dec 26, 2022",20.8,20.8,20.9,20.7,,0.00%
242,"Dec 23, 2022",20.8,20.8,20.9,20.7,,0.00%
243,"Dec 22, 2022",20.8,20.8,20.9,20.7,,0.00%
244,"Dec 21, 2022",20.8,20.8,20.9,20.7,,-0.48%
245,"Dec 20, 2022",20.9,20.9,21.0,20.8,,-0.95%
246,"Dec 19, 2022",21.1,21.1,21.2,21.0,,0.00%
247,"Dec 16, 2022",21.1,21.1,21.2,21.0,,0.00%
248,"Dec 15, 2022",21.1,21.1,21.2,21.0,,-0.47%
249,"Dec 14, 2022",21.2,21.2,21.3,21.1,,-0.93%
250,"Dec 13, 2022",21.4,21.4,21.5,21.3,,0.00%
251,"Dec 12, 2022",21.4,21.4,21.5,21.3,,0.00%
252,"Dec 09, 2022",21.4,21.4,21.5,21.3,,0.00%
253,"Dec 08, 2022",21.4,21.4,21.5,21.3,,-2.73%
254,"Dec 07, 2022",22.0,22.0,22.1,21.9,,-2.65%
255,"Dec 06, 2022",22.6,22.6,22.7,22.5,,0.00%
256,"Dec 05, 2022",22.6,22.6,22.7,22.5,,0.00%
257,"Dec 02, 2022",22.6,22.6,22.7,22.5,,-2.59%
258,"Dec 01, 2022",23.2,23.2,23.3,23.1,,0.00%
259,"Nov 30, 2022",23.2,23.2,23.3,23.1,,0.00%
260,"Nov 29, 2022",23.2,23.2,23.3,23.1,,0.00%
261,"Nov 28, 2022",23.2,23.2,23.3,23.1,,0.00%
262,"Nov 25, 2022",23.2,23.2,23.3,23.1,,-2.11%
263,"Nov 24, 2022",23.7,23.7,23.8,23.6,,-2.07%
264,"Nov 23, 2022",24.2,24.2,24.3,24.1,,0.00%
265,"Nov 22, 2022",24.2,24.2,24.3,24.1,,0.00%
266,"Nov 21, 2022",24.2,24.2,24.3,24.1,,0.00%
267,"Nov 18, 2022",24.2,24.2,24.3,24.1,,0.00%
268,"Nov 17, 2022",24.2,24.2,24.3,24.1,,0.00%
269,"Nov 16, 2022",24.2,24.2,24.3,24.1,,-0.41%
270,"Nov 15, 2022",24.3,24.3,24.4,24.2,,0.00%
271,"Nov 14, 2022",24.3,24.3,24.4,24.2,,-2.41%
272,"Nov 11, 2022",24.9,24.9,25.0,24.8,,-2.73%
273,"Nov 10, 2022",25.6,25.6,25.7,25.5,,0.00%
274,"Nov 09, 2022",25.6,25.6,25.7,25.5,,-1.16%
275,"Nov 08, 2022",25.9,25.9,26.0,25.8,,-0.77%
276,"Nov 07, 2022",26.1,26.1,26.2,26.0,,0.00%
277,"Nov 04, 2022",26.1,26.1,26.2,26.0,,0.00%
278,"Nov 03, 2022",26.1,26.1,26.2,26.0,,0.00%
279,"Nov 02, 2022",26.1,26.1,26.2,26.0,,0.00%
280,"Nov 01, 2022",26.1,26.1,26.2,26.0,,-0.38%
281,"Oct 31, 2022",26.2,26.2,26.3,26.1,,0.00%
