Date,Price,Price_gte_2,Price_gte_12,Price_gte_22,Price_lte_2,Price_lte_12,Price_lte_22
2020-04-19,2.3345,True,False,False,False,True,True
2020-04-20,2.267,True,False,False,False,True,True
2020-04-21,2.3175,True,False,False,False,True,True
2020-04-22,2.324,True,False,False,False,True,True
2020-04-23,2.348,True,False,False,False,True,True
2020-04-26,2.382,True,False,False,False,True,True
2020-04-27,2.379,True,False,False,False,True,True
2020-04-28,2.3745,True,False,False,False,True,True
2020-04-29,2.354,True,False,False,False,True,True
2020-04-30,2.3185,True,False,False,False,True,True
2020-05-03,2.324,True,False,False,False,True,True
2020-05-04,2.341,True,False,False,False,True,True
2020-05-05,2.3525,True,False,False,False,True,True
2020-05-06,2.3855,True,False,False,False,True,True
2020-05-07,2.4085,True,False,False,False,True,True
2020-05-10,2.382,True,False,False,False,True,True
2020-05-11,2.3605,True,False,False,False,True,True
2020-05-12,2.349,True,False,False,False,True,True
2020-05-13,2.351,True,False,False,False,True,True
2020-05-14,2.3335,True,False,False,False,True,True
2020-05-17,2.405,True,False,False,False,True,True
2020-05-18,2.423,True,False,False,False,True,True
2020-05-19,2.4675,True,False,False,False,True,True
2020-05-20,2.452,True,False,False,False,True,True
2020-05-21,2.409,True,False,False,False,True,True
2020-05-25,2.4385,True,False,False,False,True,True
2020-05-26,2.4025,True,False,False,False,True,True
2020-05-27,2.413,True,False,False,False,True,True
2020-05-28,2.4265,True,False,False,False,True,True
2020-05-31,2.4745,True,False,False,False,True,True
2020-06-01,2.4945,True,False,False,False,True,True
2020-06-02,2.4965,True,False,False,False,True,True
2020-06-03,2.493,True,False,False,False,True,True
2020-06-04,2.557,True,False,False,False,True,True
2020-06-07,2.57,True,False,False,False,True,True
2020-06-08,2.6005,True,False,False,False,True,True
2020-06-09,2.657,True,False,False,False,True,True
2020-06-10,2.5865,True,False,False,False,True,True
2020-06-11,2.6015,True,False,False,False,True,True
2020-06-14,2.5685,True,False,False,False,True,True
2020-06-15,2.566,True,False,False,False,True,True
2020-06-16,2.592,True,False,False,False,True,True
2020-06-17,2.591,True,False,False,False,True,True
2020-06-18,2.615,True,False,False,False,True,True
2020-06-21,2.6555,True,False,False,False,True,True
2020-06-22,2.66,True,False,False,False,True,True
2020-06-23,2.6505,True,False,False,False,True,True
2020-06-24,2.6625,True,False,False,False,True,True
2020-06-25,2.672,True,False,False,False,True,True
2020-06-28,2.6795,True,False,False,False,True,True
2020-06-29,2.7135,True,False,False,False,True,True
2020-06-30,2.717,True,False,False,False,True,True
2020-07-01,2.7335,True,False,False,False,True,True
2020-07-05,2.766,True,False,False,False,True,True
2020-07-06,2.7875,True,False,False,False,True,True
2020-07-07,2.8145,True,False,False,False,True,True
2020-07-08,2.828,True,False,False,False,True,True
2020-07-09,2.887,True,False,False,False,True,True
2020-07-12,2.942,True,False,False,False,True,True
2020-07-13,2.916,True,False,False,False,True,True
2020-07-14,2.8705,True,False,False,False,True,True
2020-07-15,2.886,True,False,False,False,True,True
2020-07-16,2.8875,True,False,False,False,True,True
2020-07-19,2.8985,True,False,False,False,True,True
2020-07-20,2.941,True,False,False,False,True,True
2020-07-21,2.9085,True,False,False,False,True,True
2020-07-22,2.9245,True,False,False,False,True,True
2020-07-23,2.882,True,False,False,False,True,True
2020-07-26,2.888,True,False,False,False,True,True
2020-07-27,2.905,True,False,False,False,True,True
2020-07-28,2.9055,True,False,False,False,True,True
2020-07-29,2.9045,True,False,False,False,True,True
2020-07-30,2.859,True,False,False,False,True,True
2020-08-02,2.908,True,False,False,False,True,True
2020-08-03,2.8895,True,False,False,False,True,True
