,Date,Price,Open,High,Low,Vol.,Change %
206,"Mar 06, 2023","8,920.50","8,845.00","8,845.00","8,845.00",38.39K,-0.70%
207,"Mar 03, 2023","8,983.50","8,980.00","8,978.00","8,978.00",27.83K,0.28%
208,"Mar 02, 2023","8,958.50","8,923.00","8,921.00","8,922.00",54.40K,-1.56%
209,"Mar 01, 2023","9,100.50","9,092.00","9,090.00","9,081.00",48.14K,1.56%
210,"Feb 28, 2023","8,961.00","8,865.00","8,851.00","8,851.00",47.60K,1.81%
211,"Feb 27, 2023","8,802.00","8,772.00","8,767.00","8,767.00",48.91K,0.98%
212,"Feb 24, 2023","8,716.50","8,835.00","8,826.00","8,826.50",,-2.11%
213,"Feb 23, 2023","8,904.00","9,088.00","9,088.00","9,088.00",51.58K,-2.28%
214,"Feb 22, 2023","9,112.00","9,145.00","9,131.00","9,132.00",42.44K,-0.96%
215,"Feb 21, 2023","9,200.50","9,130.00","9,125.00","9,120.00",46.99K,0.65%
216,"Feb 20, 2023","9,141.50","9,050.00","9,043.00","9,043.00",35.46K,1.71%
217,"Feb 17, 2023","8,987.50","8,912.00","8,910.00","8,912.00",37.94K,-0.39%
218,"Feb 16, 2023","9,023.00","8,932.00","8,931.00","8,932.00",43.96K,1.87%
219,"Feb 15, 2023","8,857.50","8,870.00","8,860.00","8,862.00",42.09K,-0.99%
220,"Feb 14, 2023","8,946.50","8,970.00","8,957.50","8,957.50",40.64K,0.10%
221,"Feb 13, 2023","8,938.00","8,955.00","8,940.00","8,940.00",34.02K,0.91%
222,"Feb 10, 2023","8,857.50","8,940.00","8,932.00","8,933.00",31.94K,-1.40%
223,"Feb 09, 2023","8,983.00","9,005.00","8,980.50","8,981.00",41.62K,1.02%
224,"Feb 08, 2023","8,892.50","9,042.00","9,032.50","9,032.50",41.08K,-0.36%
225,"Feb 07, 2023","8,925.00","8,895.00","8,891.00","8,890.00",38.77K,0.60%
226,"Feb 06, 2023","8,871.50","8,930.00","8,925.00","8,927.00",42.96K,-1.21%
227,"Feb 03, 2023","8,980.50","9,085.00","9,070.00","9,075.00",47.02K,-0.80%
228,"Feb 02, 2023","9,052.50","9,150.00","9,140.00","9,135.50",42.17K,-0.38%
229,"Feb 01, 2023","9,087.00","9,200.00","9,200.00","9,200.00",37.37K,-1.47%
230,"Jan 31, 2023","9,222.50","9,105.00","9,104.00","9,105.00",43.57K,0.14%
231,"Jan 30, 2023","9,210.00","9,258.00","9,257.00","9,258.00",30.51K,-0.58%
232,"Jan 27, 2023","9,263.50","9,370.00","9,362.00","9,365.00",31.82K,-0.71%
233,"Jan 26, 2023","9,329.50","9,330.00","9,317.00","9,320.00",25.01K,0.16%
234,"Jan 25, 2023","9,314.50","9,293.00","9,289.00","9,289.00",18.85K,0.00%
235,"Jan 24, 2023","9,314.50","9,345.00","9,335.00","9,335.00",21.28K,-0.44%
236,"Jan 23, 2023","9,356.00","9,360.00","9,355.00","9,360.00",24.08K,0.34%
237,"Jan 20, 2023","9,324.00","9,250.00","9,245.00","9,245.00",30.58K,0.20%
238,"Jan 19, 2023","9,305.50","9,195.00","9,195.00","9,190.00",47.40K,-0.19%
239,"Jan 18, 2023","9,323.50","9,435.00","9,430.00","9,430.00",57.25K,0.39%
240,"Jan 17, 2023","9,287.00","9,135.00","9,123.50","9,124.00",47.09K,2.00%
241,"Jan 16, 2023","9,104.50","9,175.00","9,174.00","9,174.00",28.25K,-0.88%
242,"Jan 13, 2023","9,185.50","9,131.00","9,129.00","9,131.00",37.44K,-0.02%
243,"Jan 12, 2023","9,187.00","9,100.00","9,085.00","9,090.00",57.61K,0.68%
