0,Date,HS Code,Product Description,Consignee,Notify Party Name,Shipper,Std. Quantity,Std. Unit,Standard Unit Rate INR,Value,Country of Origin,Country of Destination,Port of Destination,Quantity,Unit,Unit Rate $,Actual Duty,Port of Origin,Shipment Mode,Measurment,Bill of Entry No,Port of Delivery,Container TEU,Freight Term,Marks Number,HS Product Description,Gross Weight,Consignee Address,Shipper Address,Notify Party Address,Country Name
505,2020-12-29 00:00:00,74020012,ANODES | CERANODE | PBT-S-1033 | FOR CATHODIC PROTECTION SYSTEM | 4 UNITS,EMPRESA CL202012 004080,,,703.376,KGS,-,18161.86,United States,Chile,Am Benitez Airport,703.376,KGS,-,-,Miami,-,-,-,-,-,-,-,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",1173.5,,,,Chile T2  Import
506,2020-02-18 00:00:00,74020000,ICAF SYSTEM: ANODE (SP) CU-60/1200D3 INCL. NCHIPSET,PT PELAYARAN FORTUNA NUSANTARA MEGAJAYA,,SC FLOW TECHNOLOGY PTE LTD,4,NOS,-,4713.48,Netherlands,Indonesia,Soekarno-hatta Apt/jakarta,4,PCS,1178.37,0,Amsterdam,-,-,048866,-,-,-,-,,0,PLAZA MAREIN 17D FLOOR JL.JEND SUDIRMAN KAV 76-78 KEL.SETIABUDI,3 SOON LEE STREET 4-12 PIONEER JUNCTION 627606 SIN,,Indonesia T3  Import
507,2020-02-18 00:00:00,74020000,ICAF SYSTEM: ANODE (SP) CU-60/600D2 INCL. NCHIPSET,PT PELAYARAN FORTUNA NUSANTARA MEGAJAYA,,SC FLOW TECHNOLOGY PTE LTD,10,NOS,-,6620.84,Netherlands,Indonesia,Soekarno-hatta Apt/jakarta,10,PCS,662.084,0,Amsterdam,-,-,048866,-,-,-,-,,0,PLAZA MAREIN 17D FLOOR JL.JEND SUDIRMAN KAV 76-78 KEL.SETIABUDI,3 SOON LEE STREET 4-12 PIONEER JUNCTION 627606 SIN,,Indonesia T3  Import
508,2020-12-04 00:00:00,74020000,UNREFINED COPPER INGOT (EXPORT FROM EOU),YINGDE LONHSHENG METAL CO LTD,,SLC METAL AND REFINING PRIVATE LIMITED,5813.33,Kgs,-,4662290.66,Pakistan,China,Not Available,5813.33,KGS,5,-,Karachi,-,-,-,-,-,-,-,Unrefined copper; copper anodes for electrolytic refining.,0,,"PLOT #A-77, NOOR UD DIN QURESHI ROAD NEAR FFBL EASTERN INDUSTRIAL ZONE PORT QASIM AUTHORITY, KARACHI",,Pakistan T3  Export
509,2020-12-04 00:00:00,74020000,UNREFINED COPPER INGOT (EXPORT FROM EOU),YINGDE LONHSHENG METAL CO LTD,,SLC METAL AND REFINING PRIVATE LIMITED,14587.33,Kgs,-,11699038.66,Pakistan,China,Not Available,14587.33,KGS,5,-,Karachi,-,-,-,-,-,-,-,Unrefined copper; copper anodes for electrolytic refining.,0,,"PLOT #A-77, NOOR UD DIN QURESHI ROAD NEAR FFBL EASTERN INDUSTRIAL ZONE PORT QASIM AUTHORITY, KARACHI",,Pakistan T3  Export
510,2020-12-10 00:00:00,74020000,UNREFINED COPPER INGOT (EXPORT FROM EOU),YINGDE LONHSHENG METAL CO LTD,,SLC METAL AND REFINING PRIVATE LIMITED,15180.47,Kgs,-,12167146.7,Pakistan,China,Not Available,15180.47,KGS,5,-,Karachi,-,-,-,-,-,-,-,Unrefined copper; copper anodes for electrolytic refining.,0,,"PLOT #A-77, NOOR UD DIN QURESHI ROAD NEAR FFBL EASTERN INDUSTRIAL ZONE PORT QASIM AUTHORITY, KARACHI",,Pakistan T3  Export
511,2020-12-14 00:00:00,74020000,UNREFINED COPPER INGOT (EXPORT FROM EOU),YINGDE LONHSHENG METAL CO LTD,,SLC METAL AND REFINING PRIVATE LIMITED,19203.84,Kgs,-,15387076.8,Pakistan,China,Not Available,19203.84,KGS,5,-,Karachi,-,-,-,-,-,-,-,Unrefined copper; copper anodes for electrolytic refining.,0,,"PLOT #A-77, NOOR UD DIN QURESHI ROAD NEAR FFBL EASTERN INDUSTRIAL ZONE PORT QASIM AUTHORITY, KARACHI",,Pakistan T3  Export
512,2020-01-06 00:00:00,74020000,UNREFINED COPPER INGOT (EXPORT FROM EOU)                                                                                                                                            ,E TECH MANAGEMENT HK LIMITED,,SLC METAL AND REFINING PRIVATE LIMITED,6170.4,Kgs,-,4777432.2,Pakistan,Hong Kong,Not Available,6170.4,KGS,5,-,Karachi,-,-,-,-,-,-,-,Unrefined copper; copper anodes for electrolytic refining.,0,,"PLOT #A-77, NOOR UD DIN QURESHI ROAD NEAR FFBL EASTERN INDUSTRIAL ZONE PORT QASIM AUTHORITY, KARACHI",,Pakistan T3  Export
513,2020-01-08 00:00:00,74020000,UNREFINED COPPER INGOT (EXPORT FROM EOU)                                                                                                                                            ,YINGDE LONHSHENG METAL CO LTD,,SLC METAL AND REFINING PRIVATE LIMITED,6244.22,Kgs,-,4836148.39,Pakistan,China,Not Available,6244.22,KGS,5,-,Karachi,-,-,-,-,-,-,-,Unrefined copper; copper anodes for electrolytic refining.,0,,"PLOT #A-77, NOOR UD DIN QURESHI ROAD NEAR FFBL EASTERN INDUSTRIAL ZONE PORT QASIM AUTHORITY, KARACHI",,Pakistan T3  Export
514,2020-01-08 00:00:00,74020000,UNREFINED COPPER INGOT (EXPORT FROM EOU)                                                                                                                                            ,YINGDE LONHSHENG METAL CO LTD,,SLC METAL AND REFINING PRIVATE LIMITED,16455.78,Kgs,-,12745001.61,Pakistan,China,Not Available,16455.78,KGS,5,-,Karachi,-,-,-,-,-,-,-,Unrefined copper; copper anodes for electrolytic refining.,0,,"PLOT #A-77, NOOR UD DIN QURESHI ROAD NEAR FFBL EASTERN INDUSTRIAL ZONE PORT QASIM AUTHORITY, KARACHI",,Pakistan T3  Export
