,Date,HS Code,Product Description,Consignee,Notify Party Name,Shipper,Std. Quantity,Std. Unit,Standard Unit Rate INR,Value,Country of Origin,Country of Destination,Port of Destination,Quantity,Unit,Unit Rate $,Actual Duty,Port of Origin,Shipment Mode,Measurment,Bill of Entry No,Port of Delivery,Container TEU,Freight Term,Marks Number,HS Product Description,Gross Weight,Consignee Address,Shipper Address,Notify Party Address,Country Name
88,2022-02-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.0,TON,-,0.0,Netherlands,France,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Netherlands T1  Export
89,2022-02-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.32,TON,-,570932.58,Belgium,United States,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Belgium T1  Export
90,2022-01-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.0,TON,-,5488.64,Italy,Thailand,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Italy T1  Export
91,2022-01-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.02,TON,-,29011.36,France,Spain,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,France T1  Export
92,2022-04-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.0,TON,-,417.58,Belgium,Sweden,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Belgium T1  Export
93,2022-06-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.0,TON,-,95.74,Belgium,United States,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Belgium T1  Export
94,2022-03-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.01,TON,-,111333.33,Belgium,Japan,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Belgium T1  Export
95,2022-03-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.11,TON,-,115088.89,Belgium,Latvia,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Belgium T1  Export
96,2022-03-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.11,TON,-,126144.44,Belgium,France,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Belgium T1  Export
97,2022-08-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.0,TON,-,5896.91,Germany,Spain,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Germany T1  Export
98,2022-07-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.01,TON,-,8750.0,Germany,China,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Germany T1  Export
99,2022-08-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.0,TON,-,123.71,Belgium,Slovenia,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Belgium T1  Export
100,2022-08-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.53,TON,-,2453.61,Germany,Slovenia,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Slovenia T1  Import
101,2022-08-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.3,TON,-,4886.6,Denmark,Germany,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Germany T1  Import
102,2022-08-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.01,TON,-,463.92,Austria,Slovenia,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Slovenia T1  Import
103,2022-06-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.08,TON,-,84244.68,China,Germany,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Germany T1  Import
104,2022-06-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.3,TON,-,347265.96,China,Germany,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Germany T1  Import
105,2022-01-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.01,TON,-,1170.45,China,Netherlands,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Netherlands T1  Import
106,2022-02-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.0,TON,-,337.08,Germany,Italy,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Italy T1  Import
