,Date,Price,Open,High,Low,Vol.,Change %
799,"Oct 26, 2020",10.45,10.43,11.14,10.22,2.07M,-1.60%
800,"Oct 23, 2020",10.62,10.93,11.2,10.46,1.76M,-1.58%
801,"Oct 22, 2020",10.79,10.7,11.3,10.56,2.20M,-1.91%
802,"Oct 21, 2020",11.0,12.23,12.43,10.81,5.06M,-12.14%
803,"Oct 20, 2020",12.52,12.88,13.38,12.37,3.67M,-2.34%
804,"Oct 19, 2020",12.82,12.26,13.68,12.13,6.92M,6.83%
805,"Oct 16, 2020",12.0,12.76,13.08,11.92,2.80M,-5.81%
806,"Oct 15, 2020",12.74,12.56,12.81,12.1,2.44M,-2.60%
807,"Oct 14, 2020",13.08,13.3,13.52,12.75,2.35M,-1.06%
808,"Oct 13, 2020",13.22,12.86,13.63,12.8,4.28M,3.93%
809,"Oct 12, 2020",12.72,14.3,14.4,12.61,6.17M,-11.91%
810,"Oct 09, 2020",14.44,14.8,14.9,14.01,4.57M,-2.30%
811,"Oct 08, 2020",14.78,15.27,15.34,14.27,4.28M,-0.20%
812,"Oct 07, 2020",14.81,14.57,15.71,14.16,8.55M,7.40%
813,"Oct 06, 2020",13.79,15.87,15.99,13.6,14.08M,-13.05%
814,"Oct 05, 2020",15.86,16.2,16.97,15.52,17.93M,7.89%
815,"Oct 02, 2020",14.7,11.4,15.3,11.36,27.11M,17.60%
816,"Oct 01, 2020",12.5,12.25,12.87,11.74,10.16M,9.75%
817,"Sep 30, 2020",11.39,10.59,12.93,10.47,15.62M,7.35%
818,"Sep 29, 2020",10.61,9.85,10.83,9.67,8.92M,1.05%
819,"Sep 28, 2020",10.5,10.11,11.15,9.41,17.30M,22.95%
820,"Sep 25, 2020",8.54,7.1,8.94,7.09,7.71M,18.94%
821,"Sep 24, 2020",7.18,6.75,7.57,6.71,3.13M,1.27%
822,"Sep 23, 2020",7.09,8.52,8.56,7.0,6.48M,-21.57%
823,"Sep 22, 2020",9.04,9.87,9.91,8.63,4.54M,-8.04%
824,"Sep 21, 2020",9.83,10.34,10.52,9.1,5.07M,-4.66%
825,"Sep 18, 2020",10.31,9.86,11.22,9.54,9.51M,8.30%
826,"Sep 17, 2020",9.52,8.79,9.53,8.56,2.18M,5.08%
827,"Sep 16, 2020",9.06,9.04,9.71,8.78,4.46M,3.07%
828,"Sep 15, 2020",8.79,8.36,9.19,8.29,4.92M,7.85%
829,"Sep 14, 2020",8.15,7.19,8.22,7.14,3.16M,16.26%
830,"Sep 11, 2020",7.01,7.15,7.26,6.95,630.66K,-1.27%
831,"Sep 10, 2020",7.1,7.34,7.44,7.04,597.74K,-1.53%
832,"Sep 09, 2020",7.21,7.33,7.55,7.11,656.57K,1.55%
833,"Sep 08, 2020",7.1,7.0,7.4,6.91,795.77K,-2.47%
834,"Sep 04, 2020",7.28,7.16,7.36,6.69,1.38M,0.69%
835,"Sep 03, 2020",7.23,7.73,7.73,7.14,1.48M,-7.90%
836,"Sep 02, 2020",7.85,7.98,7.98,7.47,930.25K,-1.13%
837,"Sep 01, 2020",7.94,7.9,8.03,7.61,1.27M,0.51%
838,"Aug 31, 2020",7.9,7.64,8.24,7.41,2.07M,6.90%
839,"Aug 28, 2020",7.39,7.0,7.64,6.99,1.37M,6.64%
840,"Aug 27, 2020",6.93,7.02,7.19,6.79,802.76K,-2.12%
841,"Aug 26, 2020",7.08,6.74,7.39,6.61,1.73M,5.83%
842,"Aug 25, 2020",6.69,6.9,6.96,6.3,2.01M,-3.74%
843,"Aug 24, 2020",6.95,7.78,7.86,6.85,2.01M,-9.51%
844,"Aug 21, 2020",7.68,7.71,7.76,7.33,1.67M,-0.90%
